benchmark	optimizer	epochs	train_s_mean	train_s_pm	tok_s_mean	tok_s_pm	train_nll_mean	train_nll_pm	test_nll_mean	test_nll_pm	status	logfile
token-lm-document	adamw	1	0.09	0.08	86465.0	34213.1	5.29252	0.01331	5.10044	0.01266	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_adamw_e1.log
token-lm-document	bimap_lite	1	0.35	0.01	13230.0	223.9	5.26831	0.00528	5.07659	0.01053	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_lite_e1.log
token-lm-document	bimap_v2_0	1	0.36	0.01	12713.2	248.6	5.26931	0.00529	5.07810	0.00981	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_0_e1.log
token-lm-document	bimap_v2	1	0.38	0.00	12210.3	69.9	5.26831	0.00528	5.07659	0.01053	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_e1.log
token-lm-document	adamw	2	0.13	0.08	93309.3	30877.9	4.86942	0.03950	4.84283	0.05723	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_adamw_e2.log
token-lm-document	bimap_lite	2	0.69	0.00	13387.8	59.6	4.86303	0.02478	4.73404	0.04168	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_lite_e2.log
token-lm-document	bimap_v2_0	2	0.72	0.01	12770.3	168.2	4.86598	0.02465	4.73939	0.04052	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_0_e2.log
token-lm-document	bimap_v2	2	0.77	0.01	12043.7	187.1	4.86303	0.02478	4.73404	0.04168	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_e2.log
token-lm-document	adamw	3	0.17	0.09	95579.1	27504.8	4.45955	0.10418	4.69911	0.04851	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_adamw_e3.log
token-lm-document	bimap_lite	3	1.03	0.01	13472.1	120.1	4.44128	0.04886	4.23897	0.07172	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_lite_e3.log
token-lm-document	bimap_v2_0	3	1.07	0.00	12888.6	58.6	4.45291	0.04833	4.26553	0.06671	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_0_e3.log
token-lm-document	bimap_v2	3	1.15	0.02	12062.7	219.9	4.44127	0.04886	4.23897	0.07172	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_e3.log
token-lm-document	adamw	4	0.21	0.08	97759.5	24239.4	3.91144	0.18089	4.72663	0.17797	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_adamw_e4.log
token-lm-document	bimap_lite	4	1.38	0.01	13330.5	117.7	3.85595	0.07336	3.60991	0.09496	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_lite_e4.log
token-lm-document	bimap_v2_0	4	1.43	0.00	12853.7	41.3	3.88839	0.07240	3.64474	0.08209	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_0_e4.log
token-lm-document	bimap_v2	4	1.52	0.00	12144.0	39.5	3.85595	0.07336	3.60991	0.09496	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-document_bimap_v2_e4.log
token-lm-corpus-large	adamw	1	0.16	0.14	69591.5	26560.1	5.82111	0.02476	6.34233	0.00585	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-corpus-large_adamw_e1.log
token-lm-corpus-large	bimap_lite	1	1.03	0.02	6992.3	114.0	5.81868	0.02348	6.39963	0.01639	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-084520/raw/sweep_token-lm-corpus-large_bimap_lite_e1.log
